Barcode,region
s_008um_00411_00234-1,Colon
s_008um_00341_00271-1,Colon
s_008um_00348_00216-1,Colon
s_008um_00369_00269-1,Colon
s_008um_00467_00241-1,Colon
s_008um_00596_00259-1,Colon
s_008um_00570_00495-1,SI
s_008um_00446_00525-1,SI
s_008um_00419_00520-1,SI
s_008um_00547_00253-1,Colon
s_008um_00391_00493-1,SI
s_008um_00572_00248-1,Colon
s_008um_00396_00239-1,Colon
s_008um_00422_00228-1,Colon
s_008um_00431_00553-1,SI
s_008um_00388_00286-1,Colon
s_008um_00591_00441-1,SI
s_008um_00637_00454-1,SI
s_008um_00457_00508-1,SI
s_008um_00343_00285-1,Colon
s_008um_00610_00446-1,SI
s_008um_00398_00555-1,SI
s_008um_00527_00499-1,SI
s_008um_00407_00525-1,SI
s_008um_00452_00512-1,SI
s_008um_00636_00452-1,SI
s_008um_00590_00468-1,SI
s_008um_00300_00595-1,SI
s_008um_00282_00590-1,SI
s_008um_00451_00208-1,Colon
s_008um_00541_00241-1,Colon
s_008um_00362_00523-1,SI
s_008um_00373_00536-1,SI
s_008um_00366_00284-1,Colon
s_008um_00308_00606-1,SI
s_008um_00409_00216-1,Colon
s_008um_00438_00209-1,Colon
s_008um_00445_00252-1,Colon
s_008um_00358_00224-1,Colon
s_008um_00452_00526-1,SI
s_008um_00457_00245-1,Colon
s_008um_00443_00490-1,SI
s_008um_00578_00441-1,SI
s_008um_00472_00499-1,SI
s_008um_00318_00548-1,SI
s_008um_00457_00203-1,Colon
s_008um_00535_00234-1,Colon
s_008um_00589_00281-1,Colon
s_008um_00575_00475-1,SI
s_008um_00535_00261-1,Colon
s_008um_00489_00496-1,SI
s_008um_00415_00540-1,SI
s_008um_00342_00274-1,Colon
s_008um_00400_00535-1,SI
s_008um_00360_00274-1,Colon
s_008um_00558_00202-1,Colon
s_008um_00587_00469-1,SI
s_008um_00322_00546-1,SI
s_008um_00497_00276-1,Colon
s_008um_00337_00269-1,Colon
s_008um_00598_00245-1,Colon
s_008um_00536_00278-1,Colon
s_008um_00522_00244-1,Colon
s_008um_00514_00223-1,Colon
s_008um_00525_00248-1,Colon
s_008um_00449_00545-1,SI
s_008um_00362_00539-1,SI
s_008um_00284_00552-1,SI
s_008um_00516_00499-1,SI
s_008um_00452_00228-1,Colon
s_008um_00435_00486-1,SI
s_008um_00540_00454-1,SI
s_008um_00377_00230-1,Colon
s_008um_00550_00464-1,SI
s_008um_00561_00259-1,Colon
s_008um_00343_00235-1,Colon
s_008um_00409_00558-1,SI
s_008um_00592_00452-1,SI
s_008um_00423_00207-1,Colon
s_008um_00499_00478-1,SI
s_008um_00496_00221-1,Colon
s_008um_00359_00213-1,Colon
s_008um_00377_00548-1,SI
s_008um_00565_00483-1,SI
s_008um_00422_00507-1,SI
s_008um_00367_00513-1,SI
s_008um_00358_00269-1,Colon
s_008um_00377_00272-1,Colon
s_008um_00409_00526-1,SI
s_008um_00547_00493-1,SI
s_008um_00525_00479-1,SI
s_008um_00428_00507-1,SI
s_008um_00445_00239-1,Colon
s_008um_00574_00211-1,Colon
s_008um_00617_00439-1,SI
s_008um_00423_00560-1,SI
s_008um_00438_00544-1,SI
s_008um_00364_00272-1,Colon
s_008um_00396_00539-1,SI
s_008um_00575_00481-1,SI
s_008um_00399_00260-1,Colon
s_008um_00366_00200-1,Colon
s_008um_00554_00260-1,Colon
s_008um_00347_00238-1,Colon
s_008um_00374_00200-1,Colon
s_008um_00392_00496-1,SI
s_008um_00470_00246-1,Colon
s_008um_00592_00264-1,Colon
s_008um_00468_00239-1,Colon
s_008um_00489_00268-1,Colon
s_008um_00399_00528-1,SI
s_008um_00424_00212-1,Colon
s_008um_00480_00483-1,SI
s_008um_00490_00516-1,SI
s_008um_00334_00265-1,Colon
s_008um_00448_00532-1,SI
s_008um_00545_00211-1,Colon
s_008um_00349_00272-1,Colon
s_008um_00459_00220-1,Colon
s_008um_00455_00513-1,SI
s_008um_00425_00270-1,Colon
s_008um_00471_00199-1,Colon
s_008um_00389_00294-1,Colon
s_008um_00465_00258-1,Colon
s_008um_00438_00506-1,SI
s_008um_00609_00478-1,SI
s_008um_00339_00522-1,SI
s_008um_00490_00263-1,Colon
s_008um_00366_00282-1,Colon
s_008um_00287_00588-1,SI
s_008um_00405_00502-1,SI
s_008um_00408_00214-1,Colon
s_008um_00498_00487-1,SI
s_008um_00574_00440-1,SI
s_008um_00406_00267-1,Colon
s_008um_00373_00529-1,SI
s_008um_00379_00540-1,SI
s_008um_00399_00295-1,Colon
s_008um_00387_00254-1,Colon
s_008um_00338_00533-1,SI
s_008um_00547_00439-1,SI
s_008um_00473_00216-1,Colon
s_008um_00603_00462-1,SI
s_008um_00415_00538-1,SI
s_008um_00373_00231-1,Colon
s_008um_00513_00240-1,Colon
s_008um_00419_00272-1,Colon
s_008um_00399_00277-1,Colon
s_008um_00493_00497-1,SI
s_008um_00428_00223-1,Colon
s_008um_00534_00218-1,Colon
s_008um_00580_00488-1,SI
s_008um_00363_00536-1,SI
s_008um_00506_00503-1,SI
s_008um_00488_00258-1,Colon
s_008um_00459_00198-1,Colon
s_008um_00609_00465-1,SI
s_008um_00349_00254-1,Colon
s_008um_00343_00294-1,Colon
s_008um_00413_00501-1,SI
s_008um_00498_00229-1,Colon
s_008um_00435_00491-1,SI
s_008um_00480_00476-1,SI
s_008um_00589_00254-1,Colon
s_008um_00588_00481-1,SI
s_008um_00381_00532-1,SI
s_008um_00285_00580-1,SI
s_008um_00339_00286-1,Colon
s_008um_00284_00580-1,SI
s_008um_00472_00527-1,SI
s_008um_00292_00587-1,SI
s_008um_00419_00490-1,SI
s_008um_00416_00193-1,Colon
s_008um_00392_00531-1,SI
s_008um_00351_00531-1,SI
s_008um_00391_00282-1,Colon
s_008um_00544_00433-1,SI
s_008um_00551_00262-1,Colon
s_008um_00403_00249-1,Colon
s_008um_00388_00244-1,Colon
s_008um_00323_00546-1,SI
s_008um_00463_00497-1,SI
s_008um_00364_00282-1,Colon
s_008um_00502_00271-1,Colon
s_008um_00475_00536-1,SI
s_008um_00459_00489-1,SI
s_008um_00382_00271-1,Colon
s_008um_00309_00541-1,SI
s_008um_00431_00561-1,SI
s_008um_00395_00505-1,SI
s_008um_00463_00224-1,Colon
s_008um_00417_00543-1,SI
s_008um_00371_00307-1,Colon
s_008um_00563_00458-1,SI
s_008um_00399_00249-1,Colon
s_008um_00585_00482-1,SI
s_008um_00439_00193-1,Colon
s_008um_00382_00298-1,Colon
s_008um_00479_00527-1,SI
s_008um_00437_00248-1,Colon
s_008um_00354_00511-1,SI
s_008um_00375_00202-1,Colon
s_008um_00624_00443-1,SI
s_008um_00367_00223-1,Colon
s_008um_00334_00283-1,Colon
s_008um_00435_00214-1,Colon
s_008um_00455_00202-1,Colon
s_008um_00380_00304-1,Colon
s_008um_00491_00231-1,Colon
s_008um_00498_00238-1,Colon
s_008um_00354_00303-1,Colon
s_008um_00487_00260-1,Colon
s_008um_00306_00551-1,SI
s_008um_00285_00576-1,SI
s_008um_00458_00218-1,Colon
s_008um_00374_00265-1,Colon
s_008um_00438_00550-1,SI
s_008um_00415_00555-1,SI
s_008um_00447_00481-1,SI
s_008um_00379_00307-1,Colon
s_008um_00432_00562-1,SI
s_008um_00457_00250-1,Colon
s_008um_00590_00452-1,SI
s_008um_00294_00568-1,SI
s_008um_00469_00266-1,Colon
s_008um_00443_00217-1,Colon
s_008um_00526_00285-1,Colon
s_008um_00398_00495-1,SI
s_008um_00421_00256-1,Colon
s_008um_00543_00455-1,SI
s_008um_00407_00568-1,SI
s_008um_00351_00256-1,Colon
s_008um_00567_00451-1,SI
s_008um_00327_00299-1,Colon
s_008um_00416_00554-1,SI
s_008um_00505_00280-1,Colon
s_008um_00400_00210-1,Colon
s_008um_00495_00258-1,Colon
s_008um_00353_00244-1,Colon
s_008um_00554_00215-1,Colon
s_008um_00520_00494-1,SI
s_008um_00397_00206-1,Colon
s_008um_00550_00224-1,Colon
s_008um_00464_00207-1,Colon
s_008um_00430_00544-1,SI
s_008um_00519_00267-1,Colon
s_008um_00575_00212-1,Colon
s_008um_00561_00457-1,SI
s_008um_00535_00493-1,SI
s_008um_00533_00243-1,Colon
s_008um_00434_00250-1,Colon
s_008um_00436_00195-1,Colon
s_008um_00502_00259-1,Colon
s_008um_00370_00527-1,SI
s_008um_00340_00249-1,Colon
s_008um_00392_00518-1,SI
s_008um_00345_00543-1,SI
s_008um_00374_00204-1,Colon
s_008um_00475_00477-1,SI
s_008um_00377_00310-1,Colon
s_008um_00401_00284-1,Colon
s_008um_00579_00442-1,SI
s_008um_00442_00257-1,Colon
s_008um_00478_00518-1,SI
s_008um_00566_00261-1,Colon
s_008um_00504_00222-1,Colon
s_008um_00372_00311-1,Colon
s_008um_00330_00544-1,SI
s_008um_00370_00282-1,Colon
s_008um_00555_00211-1,Colon
s_008um_00386_00483-1,SI
s_008um_00547_00449-1,SI
s_008um_00409_00192-1,Colon
s_008um_00433_00206-1,Colon
s_008um_00352_00262-1,Colon
s_008um_00485_00266-1,Colon
s_008um_00422_00265-1,Colon
s_008um_00329_00264-1,Colon
s_008um_00376_00210-1,Colon
s_008um_00379_00486-1,SI
s_008um_00553_00460-1,SI
s_008um_00507_00516-1,SI
s_008um_00444_00475-1,SI
s_008um_00348_00211-1,Colon
s_008um_00348_00526-1,SI
s_008um_00494_00236-1,Colon
s_008um_00359_00298-1,Colon
s_008um_00450_00235-1,Colon
s_008um_00444_00526-1,SI
s_008um_00345_00289-1,Colon
s_008um_00352_00296-1,Colon
s_008um_00484_00233-1,Colon
s_008um_00587_00241-1,Colon
s_008um_00557_00464-1,SI
s_008um_00581_00230-1,Colon
s_008um_00459_00477-1,SI
s_008um_00281_00582-1,SI
s_008um_00484_00529-1,SI
s_008um_00487_00518-1,SI
s_008um_00446_00511-1,SI
s_008um_00473_00524-1,SI
s_008um_00557_00258-1,Colon
s_008um_00573_00478-1,SI
s_008um_00453_00224-1,Colon
s_008um_00619_00440-1,SI
s_008um_00577_00470-1,SI
s_008um_00591_00281-1,Colon
s_008um_00455_00499-1,SI
s_008um_00374_00309-1,Colon
s_008um_00518_00258-1,Colon
s_008um_00597_00442-1,SI
